Scrollable Height,	 UIM/VIM Name,		 Type,	 UIM References,	 Dupliacte,	 Number of Scrollable Lists,	 Expandable List Ref,	 CADG Page,	
100,	 AssessmentPlanningAdmin_createAssessmentDefinition.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AssessmentPlanningAdmin_createAssessmentDefinition.html,	
100,	 ExpectedOutcomeSearchWizard_addObjective.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ExpectedOutcomeSearchWizard_addObjective.html,	
100,	 Application_selectProFormaTypeView.vim,		 Modal,	 Application_selectProFormaType.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Application_selectProFormaType.html,	
100,	 CreateServiceDeliveryWizard_details1.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CreateServiceDeliveryWizard_details1.html,	
100,	 OutcomePlan_viewExpectedOutcomeHome.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlan_viewExpectedOutcomeHome.html,	
100,	 ProviderManagement_referralWizardCommonDetails.vim,		 Modal,	 OutcomePlanReferralWizard_details.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/OutcomePlanReferralWizard_details.html,	
100,	 ProviderManagement_searchProviderNotRegistered.uim,		 Modal,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchProviderNotRegistered.html,	
100,	 ProgramAuthorisation_selectICOrCreateNewAndSelectClients.uim,		 N/A,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProgramAuthorisation_selectICOrCreateNewAndSelectClients.html,	
100,	 ProgramAuthorisation_useExistingExactClientsMatch_selectICAndClients.uim,		 N/A,	 N/A,	 No,	2,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProgramAuthorisation_useExistingExactClientsMatch_selectICAndClients.html,	
100,	 ProviderManagement_viewWaitListEntryStatusHistoryFromSearch.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewWaitListEntryStatusHistoryFromSearch.html,	
100,	 ProviderManagement_searchPersonPopUp.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchPersonPopUp.html,	
100,	 MeetingMinutes_editActionView.vim,		 Modal,	 MeetingMinutes_editActionFromViewFromAgenda.uim,	 Yes,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MeetingMinutes_editActionFromViewFromAgenda.html,	
100,	 Evidence_approveApprovalRequest.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Evidence_approveApprovalRequest.html,	
100,	 InvestigationSample_searchPerson.uim,		 NonModal,	 N/A,	 Yes,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/InvestigationSample_searchPerson.html,	
100,	 ProviderManagement_viewWaitListEntryStatusHistory.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_viewWaitListEntryStatusHistory.html,	
100,	 InvestigationSample_duplicateRegistrationCheckView.vim,		 Modal,	 InvestigationSample_duplicateRegistrationCheck.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/InvestigationSample_duplicateRegistrationCheck.html,	
100,	 MDTExternal_createIncident.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/MDTExternal_createIncident.html,	
100,	 ProgramAuthorisation_useExistingAnyClientsMatch_reuseICAndSelectClients.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProgramAuthorisation_useExistingAnyClientsMatch_reuseICAndSelectClients.html,	
100,	 Supervisor_forwardTasksNotReservedByUserSearch.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Supervisor_forwardTasksNotReservedByUserSearch.html,	
100,	 CreateServiceDeliveryWizard_details.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CreateServiceDeliveryWizard_details.html,	
100,	 ProviderManagement_searchByTrainingNameUnitMeasureForProvider.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchByTrainingNameUnitMeasureForProvider.html,	
100,	 ProviderManagement_searchByCriterion.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/ProviderManagement_searchByCriterion.html,	
